category,source,photo,model,encoder,device,width,height,inference_time_sec,depth_min,depth_max,depth_mean,depth_std,depth_p05,depth_p50,depth_p95,depth_range,depth_map,comparison
asaken,asaken,photos/asaken/IMG_20260623_182150.jpg,Small,vits,cuda,4000,3000,0.331039,0.395936,5.859272,2.996860,1.559001,0.770556,3.058730,5.251285,5.463337,results/small/depth_maps/asaken_IMG_20260623_182150_small.png,results/small/comparisons/asaken_IMG_20260623_182150_small.png
asaken,asaken,photos/asaken/IMG_20260623_182854.jpg,Small,vits,cuda,4000,3000,0.147848,0.386660,6.512580,2.888674,1.626370,0.776041,2.757375,5.812563,6.125921,results/small/depth_maps/asaken_IMG_20260623_182854_small.png,results/small/comparisons/asaken_IMG_20260623_182854_small.png
asaken,asaken,photos/asaken/IMG_20260623_182900.jpg,Small,vits,cuda,4000,3000,0.279832,0.345882,6.501150,3.032487,1.718916,0.735784,2.796141,6.116243,6.155267,results/small/depth_maps/asaken_IMG_20260623_182900_small.png,results/small/comparisons/asaken_IMG_20260623_182900_small.png
indoor,teammate,photos/indoor/indoor_01_ceiling_lights.jpg,Small,vits,cuda,2880,3840,0.144718,0.027067,6.737486,1.840037,1.528750,0.331298,1.314246,5.298198,6.710419,results/small/depth_maps/indoor_indoor_01_ceiling_lights_small.png,results/small/comparisons/indoor_indoor_01_ceiling_lights_small.png
indoor,teammate,photos/indoor/indoor_02_kitchen_wide.jpg,Small,vits,cuda,2880,3840,0.324709,0.000000,6.765444,2.557544,1.732388,0.116017,2.430461,5.511109,6.765444,results/small/depth_maps/indoor_indoor_02_kitchen_wide_small.png,results/small/comparisons/indoor_indoor_02_kitchen_wide_small.png
outdoor,teammate,photos/outdoor/outdoor_01_street_buildings.jpg,Small,vits,cuda,2880,3840,0.143254,0.000000,5.773449,1.962356,1.745406,0.000000,1.387413,5.002776,5.773449,results/small/depth_maps/outdoor_outdoor_01_street_buildings_small.png,results/small/comparisons/outdoor_outdoor_01_street_buildings_small.png
outdoor,teammate,photos/outdoor/outdoor_02_cafe_drinks_street.jpg,Small,vits,cuda,2880,3840,0.182525,0.000000,6.345419,2.194609,2.314217,0.000000,0.613801,5.614225,6.345419,results/small/depth_maps/outdoor_outdoor_02_cafe_drinks_street_small.png,results/small/comparisons/outdoor_outdoor_02_cafe_drinks_street_small.png
mirror,teammate,photos/mirror/mirror_01_bathroom_selfie.jpg,Small,vits,cuda,2880,3840,0.318602,1.438355,6.529819,2.544831,0.936422,1.623698,2.431683,4.839126,5.091464,results/small/depth_maps/mirror_mirror_01_bathroom_selfie_small.png,results/small/comparisons/mirror_mirror_01_bathroom_selfie_small.png
glass_window,teammate,photos/glass_window/glass_01_handheld_clear_cup.jpg,Small,vits,cuda,2880,3840,0.136957,0.807376,5.135037,2.718030,1.141002,1.133100,2.458205,4.587959,4.327661,results/small/depth_maps/glass_window_glass_01_handheld_clear_cup_small.png,results/small/comparisons/glass_window_glass_01_handheld_clear_cup_small.png
glass_window,teammate,photos/glass_window/glass_02_table_cup_chair.jpg,Small,vits,cuda,2880,3840,0.173804,0.046281,6.563133,1.788075,1.910858,0.168858,0.978291,5.825335,6.516852,results/small/depth_maps/glass_window_glass_02_table_cup_chair_small.png,results/small/comparisons/glass_window_glass_02_table_cup_chair_small.png
glass_window,teammate,photos/glass_window/glass_03_balcony_glass_city.jpg,Small,vits,cuda,2880,3840,0.171478,0.000000,5.595612,3.379447,1.456761,0.000000,3.797240,5.129924,5.595612,results/small/depth_maps/glass_window_glass_03_balcony_glass_city_small.png,results/small/comparisons/glass_window_glass_03_balcony_glass_city_small.png
glass_window,teammate,photos/glass_window/glass_04_window_cup_vase.jpg,Small,vits,cuda,2880,3840,0.340405,0.000000,5.449730,1.981948,2.097507,0.000000,0.687035,5.061886,5.449730,results/small/depth_maps/glass_window_glass_04_window_cup_vase_small.png,results/small/comparisons/glass_window_glass_04_window_cup_vase_small.png
shiny_metal,teammate,photos/shiny_metal/shiny_metal_01_kitchen_counter.jpg,Small,vits,cuda,2880,3840,0.151692,0.000000,8.074277,2.702535,2.494078,0.079026,1.445872,7.223907,8.074277,results/small/depth_maps/shiny_metal_shiny_metal_01_kitchen_counter_small.png,results/small/comparisons/shiny_metal_shiny_metal_01_kitchen_counter_small.png
shiny_metal,teammate,photos/shiny_metal/shiny_metal_02_reflective_counter_cup.jpg,Small,vits,cuda,2880,3840,0.344031,0.000000,11.555397,3.308419,3.345031,0.028108,2.320179,10.015669,11.555397,results/small/depth_maps/shiny_metal_shiny_metal_02_reflective_counter_cup_small.png,results/small/comparisons/shiny_metal_shiny_metal_02_reflective_counter_cup_small.png
plain_wall,teammate,photos/plain_wall/plain_wall_01_wall_corner.jpg,Small,vits,cuda,2880,3840,0.144948,1.175762,5.152891,2.261651,0.762780,1.342799,2.130516,3.749234,3.977129,results/small/depth_maps/plain_wall_plain_wall_01_wall_corner_small.png,results/small/comparisons/plain_wall_plain_wall_01_wall_corner_small.png
plain_wall,teammate,photos/plain_wall/plain_wall_02_study_room_wall.jpg,Small,vits,cuda,2880,3840,0.273428,0.035443,6.272511,4.639209,1.348430,0.268609,4.945837,5.856113,6.237068,results/small/depth_maps/plain_wall_plain_wall_02_study_room_wall_small.png,results/small/comparisons/plain_wall_plain_wall_02_study_room_wall_small.png
